,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
21436,ONEIDA,300315,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8493,1,NEW HARTFORD SHOPPING CTR,STE F4,,NEW HARTFORD,NY,13413,7300,POINT (-75.295786893 43.075729)
21488,NIAGARA,290552,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8306,384,TWIN CITY MEMORIAL HWY,,,NORTH TONAWANDA,NY,14120,9000,POINT (-78.861898781 43.033989888)
21490,NIAGARA,290547,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 12623,1385,NASH RD,,,NORTH TONAWANDA,NY,14120,10000,POINT (-78.864388624 43.060907825)
21512,NIAGARA,290428,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STR#8360,6181,MCKEE ST,,,NEWFANE,NY,14108,9100,POINT (-78.698354018 43.276648835)
21522,NIAGARA,290362,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6717,8735,NIAGARA FALLS BLVD,,,NIAGARA FALLS,NY,14304,8500,POINT (-78.962302664 43.091314311)
21523,NIAGARA,290358,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6955,4015,LAKE AVE,,,LOCKPORT,NY,14094,7000,POINT (-78.676230655 43.218094913)
21529,NIAGARA,290334,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6050,8405,ROCHESTER RD,,,GASPORT,NY,14067,2000,POINT (-78.573004668 43.195986093)
21537,NIAGARA,290279,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8183,5921,S TRANSIT RD,,,LOCKPORT,NY,14094,3000,POINT (-78.694851891 43.135400942)
21538,NIAGARA,290278,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8417,1802,PINE AVE,,,NIAGARA FALLS,NY,14301,7980,POINT (-79.039964685 43.097635313)
21539,NIAGARA,290275,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8370,735,CENTER ST,,,LEWISTON,NY,14092,5500,POINT (-79.037882452 43.17180799)
